srn,manufacturer,mandateType,manufacturer_country,mandate_holder_chrn,mandate_holder_name,mandate_holder_uid
IT-MF-000010896,Quince Therapeutics S.p.A.,MF,IT,CHRN-AR-20002058,Qarad Suisse SA,CHE250073976
IT-MF-000010897,Tecnoline SpA,MF,IT,CHRN-AR-20001856,Burg Pharma AG,CHE240657549
IT-MF-000011004,Gima S.p.A.,MF,IT,CHRN-AR-20002506,Medicare AG,CHE107881785
IT-MF-000011215,Zhermack S.p.A.,MF,IT,CHRN-AR-20001253,MAILLEFER INSTRUMENTS HOLDING Sàrl,CHE100026046
IT-MF-000011223,SAFTE S.p.A.,MF,IT,CHRN-AR-20010525,ALTRION Sagl,CHE325964507
IT-MF-000011224,Gambro Dasco S.p.A.,MF,IT,CHRN-AR-20010056,Vantive Health GmbH,CHE173645274
IT-MF-000011242,IGEA S.p.A,MF,IT,CHRN-AR-20000167,Easy Medical Device GmbH,CHE420328902
IT-MF-000011243,FERROX S.r.l.,MF,IT,CHRN-AR-20000619,Device&Care Sagl,CHE456306571
IT-MF-000011279,Luzzani Dental SRL,MF,IT,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
IT-MF-000011281,Medinet Srl,MF,IT,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
IT-MF-000011484,Bioteck SpA,MF,IT,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
IT-MF-000011597,M.V. Srl,MF,IT,CHRN-AR-20002614,IDIB GmbH,CHE113702276
IT-MF-000011601,BIOPSYBELL S.R.L.,MF,IT,CHRN-AR-20001866,COMPLIFE SWISS SA,CHE114617874
IT-MF-000012096,Omisan Farmaceutici Srl unipersonale,MF,IT,CHRN-AR-20001403,Decomplix AG,CHE150315179
IT-MF-000012232,LED S.p.A.,MF,IT,CHRN-AR-20003888,Élite Med Group Sagl,CHE396970303
IT-MF-000012233,Meda Pharma S.p.A.,MF,IT,CHRN-AR-20001667,Verfora SA,CHE103328957
IT-MF-000012302,Clover Orthopedics Srl,MF,IT,CHRN-AR-20001976,MEDOTICA SA,CHE187392139
IT-MF-000012370,CMed Aesthetics S.p.A.,MF,IT,CHRN-AR-20000339,Inspera GmbH,CHE459793434
IT-MF-000012489,Copan Wasp srl,MF,IT,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
IT-MF-000012495,Inventis Srl,MF,IT,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
IT-MF-000012556, SENTINEL CH. S.p.A.,MF,IT,CHRN-AR-20002058,Qarad Suisse SA,CHE250073976
IT-MF-000012630,Cometa S.r.l.,MF,IT,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
IT-MF-000012711,Schalcon Spa,MF,IT,CHRN-AR-20001403,Decomplix AG,CHE150315179
IT-MF-000012892,GEM SRL,MF,IT,CHRN-AR-20000426,Laubscher & Co. AG,CHE102317313
IT-MF-000013016,VISIA Lab S.r.l.,MF,IT,CHRN-AR-20001866,COMPLIFE SWISS SA,CHE114617874
IT-MF-000013116,Italfarmacia srl,MF,IT,CHRN-AR-20010391,emergee sagl,CHE314200340
IT-MF-000013303,TOSVAR S.r.l.,MF,IT,CHRN-AR-20003888,Élite Med Group Sagl,CHE396970303
IT-MF-000013307,Malvestio Spa,MF,IT,CHRN-AR-20003888,Élite Med Group Sagl,CHE396970303
IT-MF-000013308,Sterifit s.r.l.,MF,IT,CHRN-AR-20001392,Curaden AG,CHE105801551
IT-MF-000013311,DIESSE Diagnostica Senese SpA,MF,IT,CHRN-AR-20002727,Casus Switzerland GmbH,CHE394515974
IT-MF-000013520,CANÈ S.p.A.,MF,IT,CHRN-AR-20001922,Theramed AG Therapie- und Medizintechnik,CHE103629850
IT-MF-000013918,F.L. Medical S.r.l. - Laboratory equipment,MF,IT,CHRN-AR-20000873,Sarstedt AG,CHE102336888
IT-MF-000014026,MIR - Medical International Research S.p.A.,MF,IT,CHRN-AR-20001204,Arazy Group Swiss GmbH,CHE294529912
IT-MF-000015627, Air Liquide Medical Systems S.r.l.,MF,IT,CHRN-AR-20001204,Arazy Group Swiss GmbH,CHE294529912
IT-MF-000015628,VISIA Imaging Srl,MF,IT,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
IT-MF-000015631,Orthofix Srl,MF,IT,CHRN-AR-20000916,Medeco-ch Sàrl,CHE110034515
IT-MF-000015656,Lambda SpA,MF,IT,CHRN-AR-20001908,Orcos Medical AG,CHE112915757
IT-MF-000015828,Emodial,MF,IT,CHRN-AR-20001617,forni medical GmbH,CHE105566456
IT-MF-000015829,I-TECH INDUSTRIES SRL,MF,IT,CHRN-AR-20001866,COMPLIFE SWISS SA,CHE114617874
IT-MF-000015830,STERYLAB SRL,MF,IT,CHRN-AR-20000950,CMC Medical Devices GmbH,CHE484802757
IT-MF-000016005,3DIEMME S.r.l.,MF,IT,CHRN-AR-20001520,ZimVie Switzerland GmbH,CHE108695699
IT-MF-000016859,iVis Technologies S.r.l.,MF,IT,CHRN-AR-20000619,Device&Care Sagl,CHE456306571
IT-MF-000016860,Villa Sistemi Medicali SpA,MF,IT,CHRN-AR-20001649,MDTS medtechsolution AG,CHE147829489
IT-MF-000017072,PREVIS s.r.l.,MF,IT,CHRN-AR-20000751,IVF HARTMANN AG,CHE109830474
IT-MF-000017082, CENTERVUE S.P.A.,MF,IT,CHRN-AR-20001204,Arazy Group Swiss GmbH,CHE294529912
IT-MF-000017540,Nuova S.B. System S.r.l.,MF,IT,CHRN-AR-20000038,Lasermed AG,CHE106069953
IT-MF-000017541,HPF Srl,MF,IT,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
IT-MF-000017565,DBM S.r.l.,MF,IT,CHRN-AR-20000308,ACCUMED SAGL,CHE382017853
IT-MF-000017617,Otosan srl,MF,IT,CHRN-AR-20001689,Supair Care AG,CHE134392589
IT-MF-000017907,Easytech Srl,MF,IT,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
IT-MF-000018174,Biolife Italiana s.r.l.,MF,IT,CHRN-AR-20003172,Axon Lab AG,CHE106066788
IT-MF-000018175,Pietrasanta Pharma S.p.A.,MF,IT,CHRN-AR-20000052,Pharma Medica AG,CHE109332905
IT-MF-000018178,ASSUT EUROPE SPA,MF,IT,CHRN-AR-20001372,ENGEMED SA,CHE112904742
IT-MF-000018588,PAVIS SPA,MF,IT,CHRN-AR-20000946,confinis ch-rep ag,CHE336658658
IT-MF-000018589,AURORA Srl,MF,IT,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
IT-MF-000018670,DIATECH PHARMACOGENETICS SRL,MF,IT,CHRN-AR-20002727,Casus Switzerland GmbH,CHE394515974
IT-MF-000018759,Valmed srl,MF,IT,CHRN-AR-20000187,ewimed Switzerland AG,CHE114986679
IT-MF-000019024,Esaote S.p.A.,MF,IT,CHRN-AR-20000058,QUNIQUE AG,CHE230350138
IT-MF-000019025,Kering Eyewear SpA,MF,IT,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
IT-MF-000019172,Bieffe Medital SpA,MF,IT,CHRN-AR-20002193,Baxter Healthcare SA,CHE108744932
IT-MF-000019321,C.O.C. FARMACEUTICI S.R.L.,MF,IT,CHRN-AR-20001866,COMPLIFE SWISS SA,CHE114617874
IT-MF-000019323,Cedic srl,MF,IT,CHRN-AR-20000845,Axium MTech SA,CHE288770569
IT-MF-000019346,DELTA P S.R.L.,MF,IT,CHRN-AR-20001866,COMPLIFE SWISS SA,CHE114617874
IT-MF-000019581,DENTAL WORLD SRL ,MF,IT,CHRN-AR-20002053,AKZENTA INTERNATIONAL SA,CHE337693284
IT-MF-000019585,Smeg S.p.A.,MF,IT,CHRN-AR-20001866,COMPLIFE SWISS SA,CHE114617874
IT-MF-000019770,Resono Ophthalmic,MF,IT,CHRN-AR-20003888,Élite Med Group Sagl,CHE396970303
IT-MF-000019774,MIGLIONICO S.R.L.,MF,IT,CHRN-AR-20010667,BMDENTAL Technique Sàrl,CHE260627712
IT-MF-000019938,SINTESY SRL,MF,IT,CHRN-AR-20010278,Westsee Engineering AG,CHE307820537
IT-MF-000020076,CA-MI S.R.L.,MF,IT,CHRN-AR-20001866,COMPLIFE SWISS SA,CHE114617874
IT-MF-000020128,Multimedical s.r.l.,MF,IT,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
IT-MF-000020737,FARMA-DERMA S.R.L.,MF,IT,CHRN-AR-20002218,Pharmapost AG,CHE100609851
IT-MF-000020820,ME.BER. Srl Unipersonale,MF,IT,CHRN-AR-20003888,Élite Med Group Sagl,CHE396970303
IT-MF-000020835,SVAS BIOSANA S.P.A.,MF,IT,CHRN-AR-20001254,PURE Medical Device SA,CHE410104057
IT-MF-000020866,Adria Med SRL ,MF,IT,CHRN-AR-20000950,CMC Medical Devices GmbH,CHE484802757
IT-MF-000021627,Multix solutions S.r.l.,MF,IT,CHRN-AR-20000619,Device&Care Sagl,CHE456306571
IT-MF-000021631,REFLEXX S.p.A.,MF,IT,CHRN-AR-20001866,COMPLIFE SWISS SA,CHE114617874
IT-MF-000021647,SOLEKO S.p.A.,MF,IT,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
IT-MF-000021949,Vigeo S.R.L.,MF,IT,CHRN-AR-20002981,HOLUTION GmbH,CHE349078393
IT-MF-000022188,S.I.I.T. srl,MF,IT,CHRN-AR-20000304,TS Q&E GmbH,CHE285125875
IT-MF-000022193,NSK Dental Italy S.r.l.,MF,IT,CHRN-AR-20003888,Élite Med Group Sagl,CHE396970303
IT-MF-000022195,OPTIMA MOLLITER SRL,MF,IT,CHRN-AR-20000619,Device&Care Sagl,CHE456306571
IT-MF-000022506,DIFFUPLAST srl,MF,IT,CHRN-AR-20000304,TS Q&E GmbH,CHE285125875
IT-MF-000022514,Bios Srl,MF,IT,CHRN-AR-20000674,OMCS Medical GmbH,CHE132539953
IT-MF-000022535,Copan Italia SpA,MF,IT,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
IT-MF-000022736,GOLDEN STAR S.r.l.,MF,IT,CHRN-AR-20001035,MDSS CH GmbH,CHE469219639
IT-MF-000023048,Nobil Metal S.p.A,MF,IT,CHRN-AR-20001392,Curaden AG,CHE105801551
IT-MF-000023169,General Medical Merate S.p.A. ,MF,IT,CHRN-AR-20001866,COMPLIFE SWISS SA,CHE114617874
IT-MF-000023171,EUROSETS S.R.L.,MF,IT,CHRN-AR-20000308,ACCUMED SAGL,CHE382017853
IT-MF-000023426,PHOENIX S.r.l.,MF,IT,CHRN-AR-20003888,Élite Med Group Sagl,CHE396970303
IT-MF-000023490,N.G.C. Medical s.r.l,MF,IT,CHRN-AR-20010235,"Medtronic (Schweiz) AG, c/o Medtronic International Trading Sàrl",
IT-MF-000023496,Fin-ceramica faenza SpA,MF,IT,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
IT-MF-000023616,BEACMED S.r.l.,MF,IT,CHRN-AR-20000619,Device&Care Sagl,CHE456306571
IT-MF-000023733,SAPI MED S.p.A.,MF,IT,CHRN-AR-20000426,Laubscher & Co. AG,CHE102317313
IT-MF-000024418,Mectron SpA,MF,IT,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
IT-MF-000024698,IBIS s.r.l.,MF,IT,CHRN-AR-20010649,SET STERIL EXPERT TICINO Sagl,CHE490253818
IT-MF-000024700,Major Prodotti Dentari S.p.A.,MF,IT,CHRN-AR-20003203,DENTAL ADDICT SUISSE SA,CHE173301231
IT-MF-000024710,Biofarma Srl,MF,IT,CHRN-AR-20000418,Meditrial Europe AG,CHE115033718
IT-MF-000024883,Software Team SRL Tecnologie Informatiche Avanzate,MF,IT,CHRN-AR-20000675,Leuag AG,CHE106004416
IT-MF-000024944,Videomed Srl,MF,IT,CHRN-AR-20002304,Hill-Rom SA,CHE107451479
IT-MF-000024945,Drugs Minerals and Generics Italia S.r.l.,MF,IT,CHRN-AR-20001113,Bausch & Lomb Swiss AG,CHE107904535
IT-MF-000025062,Movendo Technology S.r.l.,MF,IT,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
IT-MF-000025109,EPOS SRL,MF,IT,CHRN-AR-20002486,Optik am Stauffacher GmbH,CHE320132971
IT-MF-000025331,Technogenetics S.p.A,MF,IT,CHRN-AR-20002058,Qarad Suisse SA,CHE250073976
IT-MF-000025583,Medical Products Research S.r.I.,MF,IT,CHRN-AR-20001306,ALBO Healthcare GmbH,CHE115819481
IT-MF-000025623,Life Meter S.r.l. ,MF,IT,CHRN-AR-20010525,ALTRION Sagl,CHE325964507
IT-MF-000025629,RI.MOS. Disposable Medical Products,MF,IT,CHRN-AR-20001254,PURE Medical Device SA,CHE410104057
IT-MF-000025920,IMS GIOTTO S.p.A.,MF,IT,CHRN-AR-20001866,COMPLIFE SWISS SA,CHE114617874
IT-MF-000025980,Alfa Intes Industria Terapeutica Splendore s.r.l,MF,IT,CHRN-AR-20000443,TRB CHEMEDICA INTERNATIONAL SA,CHE107991729
IT-MF-000026488,ORTHOKEY ITALIA SRL [IT],MF,IT,CHRN-AR-20000167,Easy Medical Device GmbH,CHE420328902
IT-MF-000026495,Liofilchem Srl,MF,IT,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
IT-MF-000026505,Restech,MF,IT,CHRN-AR-20002052,medi-lan Schweiz ag,CHE112896203
IT-MF-000026525,Med-Logix Srl,MF,IT,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
IT-MF-000026680,TeKne Dental srl,MF,IT,CHRN-AR-20010461,MTS Devices Sàrl,CHE269589710
IT-MF-000026683,SBM SISTEMI S.r.l.,MF,IT,CHRN-AR-20001735,VISAVI Instruments suisses Sàrl,CHE111724309
IT-MF-000026729,AorticLab S.r.l.,MF,IT,CHRN-AR-20000058,QUNIQUE AG,CHE230350138
IT-MF-000026770,H.S. Hospital Service S.P.A.,MF,IT,CHRN-AR-20000946,confinis ch-rep ag,CHE336658658
IT-MF-000026886,Angiodroid SpA,MF,IT,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
IT-MF-000026893,Abbott S.r.l.,MF,IT,CHRN-AR-20002840,Abbott AG,CHE106918983
IT-MF-000026962,MED EUROPE EUROPEAN MEDICAL SUPPLIES SRL,PR,IT,CHRN-AR-20000811,Novimed AG,CHE109102110
IT-MF-000026977,NTC srl,MF,IT,CHRN-AR-20000052,Pharma Medica AG,CHE109332905
IT-MF-000027016,DIAPATH S.p.A.,MF,IT,CHRN-AR-20000946,confinis ch-rep ag,CHE336658658
IT-MF-000027104,UNIVET LOUPES SPA [IT],MF,IT,CHRN-AR-20002834,FTC Frey Trading & Consulting Sàrl,CHE112583342
IT-MF-000027169,Res Rei SRL,MF,IT,CHRN-AR-20002486,Optik am Stauffacher GmbH,CHE320132971
IT-MF-000027196,Tema Sinergie S.p.a.,MF,IT,CHRN-AR-20000619,Device&Care Sagl,CHE456306571
IT-MF-000027197,Stiloptic di Celer Patrycja Ewa,MF,IT,CHRN-AR-20000304,TS Q&E GmbH,CHE285125875
IT-MF-000027507,Spencer Italia s.r.l.,MF,IT,CHRN-AR-20001738,Allenspach Medical AG,CHE101808933
IT-MF-000027512,Tecres S.p.A.,MF,IT,CHRN-AR-20001204,Arazy Group Swiss GmbH,CHE294529912
IT-MF-000027514,Espansione Marketing SpA,MF,IT,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
IT-MF-000027518,Tiaset di Carresi Lorenzo,MF,IT,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
IT-MF-000027519,AEA srl,MF,IT,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
IT-MF-000027525,Bio-Optica Milano s.p.a.,MF,IT,CHRN-AR-20002727,Casus Switzerland GmbH,CHE394515974
IT-MF-000027670,VANNINI DENTAL INDUSTRY S.R.L. [IT],MF,IT,CHRN-AR-20001624,Intertrading Dental AG,CHE103532771
IT-MF-000027701,De Rigo Vision S.p.A.,MF,IT,CHRN-AR-20000946,confinis ch-rep ag,CHE336658658
IT-MF-000027851,450 Srl,MF,IT,CHRN-AR-20002462,SeenVision GmbH,CHE376003400
IT-MF-000027853,Towa Srl,MF,IT,CHRN-AR-20002462,SeenVision GmbH,CHE376003400
IT-MF-000027881,Meridian Bioscience Europe Srl,MF,IT,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
IT-MF-000027922,GN MED S.r.l,MF,IT,CHRN-AR-20002121,E.M.S. Electro Medical Systems S.A.,CHE101464911
IT-MF-000027962,Delta Med SPA,MF,IT,CHRN-AR-20000950,CMC Medical Devices GmbH,CHE484802757
IT-MF-000027971,CARISIA s.r.l.,MF,IT,CHRN-AR-20002614,IDIB GmbH,CHE113702276
IT-MF-000028010,ERGON SUTRAMED Srl,MF,IT,CHRN-AR-20001372,ENGEMED SA,CHE112904742
IT-MF-000028022,KEY OPTICAL EUROPE SRL,MF,IT,CHRN-AR-20000946,confinis ch-rep ag,CHE336658658
IT-MF-000028033,RUDY PROJECT SPA,MF,IT,CHRN-AR-20000946,confinis ch-rep ag,CHE336658658
IT-MF-000028043,ALNITEC SRL,MF,IT,CHRN-AR-20000304,TS Q&E GmbH,CHE285125875
IT-MF-000028141,Anika Therapeutics S.R.L.,MF,IT,CHRN-AR-20001035,MDSS CH GmbH,CHE469219639
IT-MF-000028381,Difa Cooper SpA,MF,IT,CHRN-AR-20002614,IDIB GmbH,CHE113702276
IT-MF-000028400,Aerazen Lab srl,MF,IT,CHRN-AR-20001889,Xcelens International Sagl,CHE197108386
IT-MF-000028429,PROMETHEUS S.r.l.,MF,IT,CHRN-AR-20003878,Elite Surgical Supplies SA,CHE362612107
IT-MF-000028431,Optima Sanità S.r.l.,MF,IT,CHRN-AR-20002146,Optima Medical Swiss AG,CHE115843479
IT-MF-000028476,Blast Research s.r.l,MF,IT,CHRN-AR-20010310,Massimo Costa,
IT-MF-000028573,F.M. S.p.A.,MF,IT,CHRN-AR-20000619,Device&Care Sagl,CHE456306571
IT-MF-000028622,GMV S.R.L.,MF,IT,CHRN-AR-20001600,Medilas AG,CHE108045604
IT-MF-000028625,Meditalia SAS,MF,IT,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
IT-MF-000028626,Mada Spirometry Filters,MF,IT,CHRN-AR-20001304,amc advanced metabolic control ag,CHE110141393
IT-MF-000028641,Look Occhiali S.r.l.,MF,IT,CHRN-AR-20000946,confinis ch-rep ag,CHE336658658
IT-MF-000028705,NOSTRUM S.r.l.,MF,IT,CHRN-AR-20003888,Élite Med Group Sagl,CHE396970303
IT-MF-000028737,Medesy srl,MF,IT,CHRN-AR-20010456,ABC Dental AG,CHE104815071
IT-MF-000028746,Top Quality Group,MF,IT,CHRN-AR-20003888,Élite Med Group Sagl,CHE396970303
IT-MF-000028863,CATTANI S.p.A.,MF,IT,CHRN-AR-20000619,Device&Care Sagl,CHE456306571
IT-MF-000028864,MAGNOLIA S.r.l.,MF,IT,CHRN-AR-20003888,Élite Med Group Sagl,CHE396970303
IT-MF-000028896,Plastod Spa,MF,IT,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
IT-MF-000028933,The Wave Innovation Group Srl,MF,IT,CHRN-AR-20003878,Elite Surgical Supplies SA,CHE362612107
IT-MF-000028934,Industria Farmaceutica Galenica Senese SRL,MF,IT,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
IT-MF-000028987,T.S Ienti a Contatto srl,MF,IT,CHRN-AR-20003877,A1CH-Rep GmbH,CHE417860705
IT-MF-000029013,MicroPort CRM S.r.l.,MF,IT,CHRN-AR-20001374,MicroPort CRM GmbH,CHE282436623
IT-MF-000029027,VANNI Srl Società Benefit,MF,IT,CHRN-AR-20000946,confinis ch-rep ag,CHE336658658
IT-MF-000029088,Tavat Eyewear Srl,MF,IT,CHRN-AR-20000946,confinis ch-rep ag,CHE336658658
IT-MF-000029092,IKIT S.r.l.,MF,IT,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
IT-MF-000029123,Dia.PRO Diagnostic Bioprobes S.R.L.,MF,IT,CHRN-AR-20003375,Ruwag Handels AG,CHE103871316
IT-MF-000029149,Hydra s.r.l.,MF,IT,CHRN-AR-20000652,The Tao of Excellence GmbH,CHE492682283
IT-MF-000029156,PO-LE OPTIK srl,MF,IT,CHRN-AR-20003046,Visio Access Swiss Sagl,CHE363785555
IT-MF-000029314,Runner Srl,MF,IT,CHRN-AR-20001304,amc advanced metabolic control ag,CHE110141393
IT-MF-000029407,Mesa Italia S.r.l. [IT],MF,IT,CHRN-AR-20000994,PX Dental S.A.,CHE109393918
IT-MF-000029427,THD SpA,MF,IT,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
IT-MF-000029438,HMC PREMEDICAL S.P.A.,MF,IT,CHRN-AR-20000619,Device&Care Sagl,CHE456306571
IT-MF-000029440,Linkverse srl,MF,IT,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
IT-MF-000029458,Italeco S.r.l. [IT],MF,IT,CHRN-AR-20000426,Laubscher & Co. AG,CHE102317313
IT-MF-000029499,Aboca S.p.A. Società Agricola,MF,IT,CHRN-AR-20000252,Haleon Schweiz AG,CHE107374548
IT-MF-000029501,ELMAC ELETTRONICA SRL,MF,IT,CHRN-AR-20002148,VAMEDIS Swiss GmbH,CHE113066517
IT-MF-000029507,COSWELL SpA,MF,IT,CHRN-AR-20002614,IDIB GmbH,CHE113702276
IT-MF-000029523,Triride S.r.l.,MF,IT,CHRN-AR-20010525,ALTRION Sagl,CHE325964507
IT-MF-000029668,Ross & Brown SRL,MF,IT,CHRN-AR-20002462,SeenVision GmbH,CHE376003400
IT-MF-000029670,F.A.R.O. S.p.A.,MF,IT,CHRN-AR-20001866,COMPLIFE SWISS SA,CHE114617874
IT-MF-000029686,Seffiline S.r.l.,MF,IT,CHRN-AR-20003888,Élite Med Group Sagl,CHE396970303
IT-MF-000029717,ab medica s.p.a.,MF,IT,CHRN-AR-20000794,Johner Medical Schweiz GmbH,CHE324438245
IT-MF-000029731,AFERETICA S.R.L.,MF,IT,CHRN-AR-20001866,COMPLIFE SWISS SA,CHE114617874
IT-MF-000029732,Simple & Smart S.r.l.,MF,IT,CHRN-AR-20010525,ALTRION Sagl,CHE325964507
IT-MF-000029929,Promeia Italia Srl,MF,IT,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
IT-MF-000029930,Germo SpA,MF,IT,CHRN-AR-20000619,Device&Care Sagl,CHE456306571
IT-MF-000029932, Pasquali Srl [IT],MF,IT,CHRN-AR-20001172,Melisana AG,CHE107736232
IT-MF-000030006,MGF S.r.l.,MF,IT,CHRN-AR-20001948,Arnold Bott AG,CHE100127380
IT-MF-000030011,WICTOR Srl,MF,IT,CHRN-AR-20010512,Almax GmbH,CHE108742494
IT-MF-000030077,Univet Srl,MF,IT,CHRN-AR-20000946,confinis ch-rep ag,CHE336658658
IT-MF-000030085,G21 S.r.l.,MF,IT,CHRN-AR-20000946,confinis ch-rep ag,CHE336658658
IT-MF-000030250,Castellani Occnhiali,MF,IT,CHRN-AR-20000946,confinis ch-rep ag,CHE336658658
IT-MF-000030281,MD TECH S.r.l.,MF,IT,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
IT-MF-000030385,Promoitalia Group SPA,MF,IT,CHRN-AR-20002148,VAMEDIS Swiss GmbH,CHE113066517
IT-MF-000030441,FRA PRODUCTION SPA,MF,IT,CHRN-AR-20000426,Laubscher & Co. AG,CHE102317313
IT-MF-000030620,Antano Group s.r.l.,MF,IT,CHRN-AR-20003465,RS-Hilfsmittel GmbH,CHE109855764
IT-MF-000030695,XSpline S.p.A.,MF,IT,CHRN-AR-20002727,Casus Switzerland GmbH,CHE394515974
IT-MF-000030697,Sidam S.R.L.,MF,IT,CHRN-AR-20000946,confinis ch-rep ag,CHE336658658
IT-MF-000030944,Cosmosol,MF,IT,CHRN-AR-20002218,Pharmapost AG,CHE100609851
IT-MF-000031004,Hakomed Italia Srl,MF,IT,CHRN-AR-20003614,Sipsongpanna Holding AG,CHE329610178
IT-MF-000031256,MECCANOTTICA MAZZA S.r.l.,MF,IT,CHRN-AR-20001735,VISAVI Instruments suisses Sàrl,CHE111724309
IT-MF-000031267,Iromed Group s.r.l,MF,IT,CHRN-AR-20000443,TRB CHEMEDICA INTERNATIONAL SA,CHE107991729
IT-MF-000031272,CERICHEM BIOPHARM SRL,MF,IT,CHRN-AR-20003888,Élite Med Group Sagl,CHE396970303
IT-MF-000031338,ARTSANITY SRL,MF,IT,CHRN-AR-20001738,Allenspach Medical AG,CHE101808933
IT-MF-000031343,WORLD WORK SRL ,MF,IT,CHRN-AR-20002053,AKZENTA INTERNATIONAL SA,CHE337693284
IT-MF-000031383,WEBEE SRL,MF,IT,CHRN-AR-20002544,Deco Fashion Optic AG,CHE106791168
IT-MF-000031635,Hyris Sr,MF,IT,CHRN-AR-20001698,Obelis Swiss GmbH,CHE407391181
IT-MF-000031637,Ricerfarma s.r.l.,MF,IT,CHRN-AR-20001403,Decomplix AG,CHE150315179
IT-MF-000031777,META TECHNOLOGIES S.R.L.,MF,IT,CHRN-AR-20000652,The Tao of Excellence GmbH,CHE492682283
IT-MF-000032120,Sterify S.r.l,MF,IT,CHRN-AR-20000310,"MedEnvoy Global B.V., Leidschendam-Voorburg, Zweigniederlassung Zug",CHE469344552
IT-MF-000032546,DEMARTA VIRGINIO SRL,MF,IT,CHRN-AR-20000304,TS Q&E GmbH,CHE285125875
IT-MF-000032616,CID S.p.A,MF,IT,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
IT-MF-000032751,RAM S.R.L.,MF,IT,CHRN-AR-20000675,Leuag AG,CHE106004416
IT-MF-000032889,AGRICONS RICERCHE di Nicoli Carla [IT],MF,IT,CHRN-AR-20010050,ZweiTECH Sagl,CHE490245345
IT-MF-000032950,TREVI-COLISEUM SRL,MF,IT,CHRN-AR-20000946,confinis ch-rep ag,CHE336658658
IT-MF-000033046,BIORL S.r.l.,MF,IT,CHRN-AR-20001976,MEDOTICA SA,CHE187392139
IT-MF-000033047,Catherine de'Medici SRL,MF,IT,CHRN-AR-20002486,Optik am Stauffacher GmbH,CHE320132971
IT-MF-000033596,SECURMED SPA,MF,IT,CHRN-AR-20000807,Swiss AR Services AG,CHE446369647
IT-MF-000033694,Galbiati1935 srl [IT],MF,IT,CHRN-AR-20001392,Curaden AG,CHE105801551
IT-MF-000033797,Cam Hospital srl,PR,IT,CHRN-AR-20010050,ZweiTECH Sagl,CHE490245345
